program,type,subtype,size_gb,elapsed_sec,cpu_time_h,file_bytes_read_mib,file_bytes_written_mib,hdfs_bytes_read_mib,hdfs_bytes_writen_mib,memory_allocation_gb,uberized,maps,reduces,average_map_time_sec,average_shuffle_time_sec,average_merge_time_sec,average_reduce_time_sec
max_temp,map_reduce,NA,30,61,0.2616667,262.1,555.3,27955.2,3.43E-05,2.7,false,219,40,10,27,0,-21
max_temp,map_reduce,NA,300,586,2.5,2355.2,5017.6,296243.2,0.00086689,37.2,false,2314,40,13,119,3,7
max_temp,hive,external,300,963,4.7,0.03007813,587.8,296243.2,0.00107422,57.8,NA,NA,NA,NA,NA,NA,NA
max_temp,hive,managed_hue,300,140,NA,NA,NA,NA,NA,NA,false,114,457,42,2,0,4
max_temp,hive,managed_native,300,129,0.85,NA,NA,NA,NA,NA,false,114,457,NA,NA,NA,NA
max_temp,pig,NA,30,78,0.4633333,0.00166016,63.8,27955.2,3.43E-05,4.5,false,219,30,17,-13,0,28
max_temp,pig,NA,300,671,NA,NA,NA,NA,NA,NA,NA,2314,311,15,24,0,0
avg_count,pig,2NO,300,3110,5.7,0.04677734,700.8,296243.2,0.00302734,38.3,NA,2314,311,13,NA,NA,22
avg_count,pig,4NO,300,1654,5.8,0.046875,700.8,296243.2,0.00302734,42.5,false,2314,311,14,25,0,0
avg_count,pig,6NO,300,1128,5.7,0.046875,700.8,296243.2,0.00302734,44,NA,2314,311,15,NA,NA,25
avg_count,pig,8NO,300,896,5.6,0.046875,700.8,296243.2,0.00302734,45.8,NA,2314,311,15,NA,NA,26
avg_count,pig,10NO,300,719,5.6,0.046875,701.3,296243.2,0.00302734,47.2,false,2314,311,16,NA,NA,26
